item_id,question_id,topic,question,candidate_answer,score_0_to_1,rater_comments
BM-030,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,Memory address pointer declaration asterisk int *p dereference operator address-of ampersand heap stack byte allocation.,0.1,Unacceptable: Pure keyword stuffing without sentence structure.
BM-031,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,Declaring int *p allocates heap memory automatically for an integer without needing malloc or an existing variable address.,0.25,Misconception: Pointer declaration does not automatically allocate heap memory.
BM-032,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,"Pointers hold memory locations of objects rather than direct values. In C, writing int *p creates a pointer capable of holding an integer address.",0.75,Suboptimal/Minor Gaps: Correct but slightly less comprehensive than optimal.
BM-033,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"This is the Fibonacci sequence. The number of ways to reach step n is dp[n] = dp[n-1] + dp[n-2], with base cases dp[1] = 1 and dp[2] = 2. We can compute this iteratively in O(N) time and O(1) space using two variables.",0.9,Optimal: Correct Fibonacci dynamic programming approach with optimal space.
BM-034,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"The climbing stairs problem models optimal substructure and overlapping subproblems. To reach step n, you can arrive either from step n-1 by taking a 1-step or from step n-2 by taking a 2-step. Therefore, total distinct ways satisfies the recurrence relation ways(n) = ways(n-1) + ways(n-2). The base cases are ways(1) = 1 (only one 1-step) and ways(2) = 2 (1+1 or 2). A naive recursive solution exhibits O(2^N) exponential time due to recomputing identical states. By applying bottom-up tabulation or dynamic programming, we compute ways from 3 to n iteratively in O(N) time. Furthermore, since we only need the prior two states, we optimize auxiliary memory to O(1) by maintaining two scalar variables.",1.0,"Optimal: Flawless coverage of DP, base cases, and complexity for climbing stairs."
BM-035,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,Use simple recursion: ways(n) = ways(n-1) + ways(n-2) with base cases 1 and 2. This is correct in logic but takes exponential O(2^n) time without memoization.,0.7,Suboptimal: Algorithmic logic is sound but relies on suboptimal exponential time.
BM-036,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,You can use dynamic programming because the number of ways to get to step n depends on the two previous steps.,0.5,Partial: Correctly identifies DP but leaves significant procedural gaps.
BM-037,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"To solve climbing stairs, generate a complete binary tree of all step paths, convert the tree to an adjacency matrix, and run Dijkstra's shortest path algorithm with weights equal to 1 or 2 to find the total paths in O(V^2) time.",0.15,"Misconception: Extremely overcomplicated, incorrect application of Dijkstra."
BM-038,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,Dynamic programming recurrence relation dp[n-1] + dp[n-2] base cases memoization bottom up tabulation Fibonacci O(N) time O(1) space.,0.1,Unacceptable: Jargon list violating keyword stuffing policy.
BM-039,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"Because you can take 1 or 2 steps, the total number of ways to climb n stairs is always n factorial divided by 2.",0.1,Unacceptable: Completely incorrect mathematical logic (n! / 2).
BM-040,7,Dynamic Programming,How do you determine the number of distinct ways to climb n stairs if you can take 1 or 2 steps?,"The recurrence is dp[n] = dp[n-1] + dp[n-2], but to compute it you must multiply dp[n-1] by dp[n-2] and divide by the step size.",0.15,Misconception: Incorrect DP transition equation (multiplying instead of adding).
BM-041,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"In a directed graph, DFS detects cycles by maintaining a recursion stack state. Nodes are marked: unvisited, currently visiting (in stack), or visited. If DFS encounters a neighbor marked as currently visiting, a back-edge exists, indicating a cycle.",0.9,Optimal: Correctly distinguishes back-edges using recursion stack state.
BM-042,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"Cycle detection in directed graphs requires distinguishing back-edges from cross-edges or forward-edges. We implement DFS using a three-state coloring scheme: White (unvisited), Gray (currently visiting in the active recursion call stack), and Black (fully processed and exited). We iterate through all vertices to handle disconnected components. When exploring a vertex v, we mark it Gray. For each directed neighbor u of v, if u is Gray, we have found an edge pointing back to an ancestor in the active recursion stack, which conclusively proves a cycle exists. If u is White, we recursively explore it. After inspecting all outgoing edges from v, we mark v Black. Time complexity is O(V + E) and space complexity is O(V) for the recursion stack and state array.",1.0,"Optimal: Complete, well-reasoned description of 3-color DFS cycle detection."
BM-043,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"We run DFS and keep track of visited nodes. If we visit a node that was already visited, there might be a cycle.",0.45,Partial: Mentions visited nodes but misses the crucial back-edge/recursion stack nuance.
BM-044,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"Count the total number of edges in the graph. If E > V, the directed graph is guaranteed to have a cycle regardless of edge directions.",0.2,Misconception: E > V does not guarantee a cycle in a directed graph (only in undirected).
BM-045,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"To detect cycles in a directed graph, compute the topological sort using BFS Kahn's algorithm, but instead of tracking in-degrees, compute all shortest paths with Floyd-Warshall and check if any diagonal element is positive.",0.15,"Misconception: Rambling, incorrect combination of mismatched graph algorithms."
BM-046,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,DFS directed graph cycle detection recursion stack three colors white gray black back-edge visiting visited O(V+E) time.,0.1,Unacceptable: Jargon stuffing without coherent logic.
BM-047,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"In a directed graph, encountering any previously visited node always indicates a cycle, exactly like in undirected graphs.",0.25,Misconception: Incorrect assumption; visiting a previously visited node could just be a cross-edge.
BM-048,15,Graphs & DFS,Explain how Depth First Search (DFS) detects a cycle in a directed graph.,"Cycle detection in directed networks tracks vertices on the current path. When DFS reaches a vertex that is already an active ancestor on the current search path, a cycle is confirmed.",0.9,Optimal: Accurately identifies cycle detection via active ancestor path tracking.
BM-049,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search requires the input array to be sorted. It maintains low and high pointers, computes mid = low + (high - low)/2, compares array[mid] to the target, and halves the search space until found or exhausted in O(log N) time.",0.9,Optimal: Accurately describes binary search mechanics and sorted precondition.
BM-050,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search is a divide-and-conquer search algorithm with a strict precondition: the underlying elements must be sorted in monotonic order (or possess a monotonic predicate). We define search boundaries low = 0 and high = n - 1. In each iteration of a while loop (low <= high), we compute mid = low + (high - low) / 2 to prevent 32-bit integer overflow. If array[mid] == target, we return the index. If array[mid] < target, the target must lie in the right half, so we update low = mid + 1. If array[mid] > target, the target must lie in the left half, so we update high = mid - 1. Because each step discards half the remaining candidate elements, time complexity is O(log n) and space complexity is O(1).",1.0,"Optimal: Highly detailed explanation of binary search, preconditions, and overflow prevention."
BM-051,22,Binary Search,Explain the binary search algorithm and its preconditions.,Binary search splits the array in half each time to find a target value in O(log N) time.,0.45,Partial: Mentions array splitting but completely omits the sorted precondition.
BM-052,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search starts at index 0 and inspects every second element (0, 2, 4, ...) until finding the target.",0.1,Unacceptable: Completely incorrect mechanics (inspecting every second element).
BM-053,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search can operate on completely random unsorted data by first calculating the hash code of every element, inserting them into a binary search tree in O(N^2) time, and performing in-order traversal to locate the element.",0.15,Misconception: Convoluted and factually incorrect approach for binary search.
BM-054,22,Binary Search,Explain the binary search algorithm and its preconditions.,Binary search sorted array monotonic precondition divide and conquer low high mid halving O(log N) logarithmic time integer overflow.,0.1,Unacceptable: Keyword stuffing void of grammatical structure.
BM-055,22,Binary Search,Explain the binary search algorithm and its preconditions.,Binary search works on any array regardless of order because it automatically reorders the elements during the search.,0.1,Unacceptable: Fundamental misconception that binary search automatically reorders elements.
BM-056,22,Binary Search,Explain the binary search algorithm and its preconditions.,"Binary search halves the search space in O(log N) time, but it only works if the array is completely unordered and unsorted.",0.15,Misconception: Contradictory and incorrect statement that array must be unsorted.
BM-057,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition occurs when two or more threads concurrently access shared data without synchronization and at least one modifies it, leading to unpredictable outcomes. It is prevented using mutex locks, semaphores, or atomic operations.",0.9,Optimal: Clear definition of race conditions and correct prevention methods.
BM-058,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition is a concurrency bug that arises when two or more threads execute concurrently, access shared mutable state simultaneously, and at least one thread performs a write operation. Because thread scheduling is non-deterministic and managed by the operating system kernel, the final program state depends on the exact interleaving of instruction execution. This leads to subtle, intermittent bugs like lost updates, dirty reads, or data corruption. Race conditions are prevented by enforcing mutual exclusion around critical sections. Primary mechanisms include mutex locks (pthread_mutex), read-write locks, semaphores, and atomic hardware primitives (e.g. compare-and-swap).",1.0,"Optimal: Thorough, highly accurate explanation of race conditions and mutual exclusion."
BM-059,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,A race condition happens when threads run at the same time and overwrite each other. You fix it with locks.,0.6,"Partial: Mentions threads overwriting and locks, but lacks technical precision."
BM-060,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition is when your computer's CPU clock runs faster than your RAM bus speed, causing memory drops.",0.1,Unacceptable: Completely irrelevant hardware nonsense.
BM-061,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"A race condition occurs when threads compete for bandwidth across network interfaces. To prevent it, increase the thread priority to real-time and disable interrupt handling in user space so threads run sequentially without OS interference.",0.1,Unacceptable: Fabricated networking/interrupt concepts irrelevant to multithreading race conditions.
BM-062,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,Race condition multithreading shared mutable state concurrent write critical section mutual exclusion mutex lock semaphore atomic operations.,0.1,Unacceptable: Jargon stuffing list violating the evaluation policy.
BM-063,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,Declaring a shared variable as volatile in C/C++ completely eliminates race conditions and makes all operations atomic.,0.2,Misconception: Falsely claims 'volatile' makes operations atomic and prevents race conditions.
BM-064,50,OS & Concurrency,What is a race condition in multithreading and how do you prevent it?,"When multiple threads concurrently manipulate shared memory with unsynchronized writes, the resulting values depend on execution timing. Mutexes and atomic primitives ensure exclusive access, preventing the race.",0.85,"Optimal: Good, concise explanation of shared memory issues and mutex prevention."
