condition,persona,eval_seed,guardrail_id,raw_action,final_action
PPO+Guardrails (Seed 123),overconfident_fail,3003,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,4004,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,4004,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,4004,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,1001,g4_stuck_easier,Same,Easier
PPO+Guardrails (Seed 123),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,1001,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,1001,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,1001,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Same,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Same,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,4004,g4_stuck_easier,Same,Easier
PPO+Guardrails (Seed 123),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,4004,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,4004,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,4004,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Seed 123),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Same,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Seed 123),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,2002,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,4004,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Easier,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Historical Mismatch),overconfident_fail,1001,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,1001,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,1001,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,1001,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,2002,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,2002,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,2002,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,2002,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,3003,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,3003,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,3003,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,3003,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,4004,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,4004,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,4004,g1_overload_protection,Harder,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,4004,g1_overload_protection,Harder,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,4004,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),overconfident_fail,5005,g1_overload_protection,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,1001,g4_stuck_easier,Harder,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,2002,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,3003,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g2_anxiety_stabilizer_same,Easier,Same
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,4004,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
PPO+Guardrails (Historical Mismatch),struggling_junior,5005,g4_stuck_easier,Easier,Easier
