series,i,ms
evaluator_warm,68,200.6194
evaluator_warm,69,185.9396
evaluator_warm,70,195.6597
evaluator_warm,71,301.9557
evaluator_warm,72,573.8839
evaluator_warm,73,192.3622
evaluator_warm,74,221.3561
evaluator_warm,75,294.4731
evaluator_warm,76,215.8547
evaluator_warm,77,199.7542
evaluator_warm,78,316.5555
evaluator_warm,79,329.0343
evaluator_warm,80,686.2136
evaluator_warm,81,214.9368
evaluator_warm,82,213.3580
evaluator_warm,83,291.7579
evaluator_warm,84,215.7518
evaluator_warm,85,187.1461
evaluator_warm,86,219.3671
evaluator_warm,87,258.6104
evaluator_warm,88,541.0154
evaluator_warm,89,221.4471
evaluator_warm,90,212.6415
evaluator_warm,91,251.8804
evaluator_warm,92,213.6928
evaluator_warm,93,201.4285
evaluator_warm,94,237.8528
evaluator_warm,95,395.7582
evaluator_warm,96,608.1630
evaluator_warm,97,242.2509
evaluator_warm,98,190.0559
evaluator_warm,99,262.2886
sqlite_write,0,11.2434
sqlite_write,1,12.9728
sqlite_write,2,12.5992
sqlite_write,3,13.3361
sqlite_write,4,12.0131
sqlite_write,5,11.5588
sqlite_write,6,11.3798
sqlite_write,7,12.1501
sqlite_write,8,11.6452
sqlite_write,9,11.5375
sqlite_write,10,12.4674
sqlite_write,11,12.2386
sqlite_write,12,12.6734
sqlite_write,13,11.5382
sqlite_write,14,11.1401
sqlite_write,15,10.8465
sqlite_write,16,11.6824
sqlite_write,17,10.5094
sqlite_write,18,11.5885
sqlite_write,19,12.2237
sqlite_write,20,16.7385
sqlite_write,21,18.4067
sqlite_write,22,15.6920
sqlite_write,23,13.6930
sqlite_write,24,13.0832
sqlite_write,25,13.9111
sqlite_write,26,13.2314
sqlite_write,27,12.9172
sqlite_write,28,12.9721
sqlite_write,29,12.1401
sqlite_write,30,11.3988
sqlite_write,31,11.3804
sqlite_write,32,12.1084
sqlite_write,33,11.2227
sqlite_write,34,11.2455
sqlite_write,35,10.8574
sqlite_write,36,11.1892
sqlite_write,37,10.0334
sqlite_write,38,11.3706
sqlite_write,39,10.7121
sqlite_write,40,10.4690
sqlite_write,41,11.0144
sqlite_write,42,11.9948
sqlite_write,43,12.5091
sqlite_write,44,17.5856
sqlite_write,45,12.7208
sqlite_write,46,12.5040
sqlite_write,47,14.9825
sqlite_write,48,15.2142
sqlite_write,49,14.0005
sqlite_write,50,13.0159
sqlite_write,51,10.9754
sqlite_write,52,11.5736
sqlite_write,53,9.9784
sqlite_write,54,11.1330
sqlite_write,55,14.6384
sqlite_write,56,14.1301
sqlite_write,57,13.3978
sqlite_write,58,12.9370
sqlite_write,59,12.0651
sqlite_write,60,12.4404
sqlite_write,61,12.1047
sqlite_write,62,14.4669
sqlite_write,63,16.0385
sqlite_write,64,15.9781
sqlite_write,65,14.7471
sqlite_write,66,12.6424
sqlite_write,67,11.7896
sqlite_write,68,11.3294
sqlite_write,69,13.1066
sqlite_write,70,13.4647
sqlite_write,71,11.6929
sqlite_write,72,10.4310
sqlite_write,73,11.2430
sqlite_write,74,15.8037
sqlite_write,75,15.3386
sqlite_write,76,11.3136
sqlite_write,77,9.5280
sqlite_write,78,11.3966
sqlite_write,79,12.9262
sqlite_write,80,15.1796
sqlite_write,81,15.9076
sqlite_write,82,15.0591
sqlite_write,83,15.6059
sqlite_write,84,16.0463
sqlite_write,85,17.8670
sqlite_write,86,16.7811
sqlite_write,87,17.5832
sqlite_write,88,17.0326
sqlite_write,89,16.9925
sqlite_write,90,15.9145
sqlite_write,91,14.9263
sqlite_write,92,15.9536
sqlite_write,93,16.0418
sqlite_write,94,16.3554
sqlite_write,95,16.7590
sqlite_write,96,18.2245
sqlite_write,97,14.6675
sqlite_write,98,14.1315
sqlite_write,99,12.8854
